account,out_degree,in_degree,total_degree,component_size
C891572491,1,0,1,4
C1610493177,0,3,3,4
C419557384,1,0,1,2
C120060852,0,1,1,2
C1148855825,1,0,1,3
C958956183,0,2,2,3
C537366026,1,0,1,4
C1041988445,0,3,3,4
C1230508740,1,0,1,2
M133812031,0,1,1,2
C104493286,1,0,1,2
M1561892650,0,1,1,2
C1789655493,1,0,1,2
C2096110013,0,1,1,2
C1512288815,1,0,1,3
C69589225,0,2,2,3
C579516826,1,0,1,2
M1711640033,0,1,1,2
C229674586,1,0,1,2
C486501918,0,1,1,2
C819892877,1,0,1,2
M1132079873,0,1,1,2
C632104197,1,0,1,2
C1301439630,0,1,1,2
C863274864,1,0,1,3
C543611962,0,2,2,3
C1081773041,1,0,1,3
C1722852252,0,2,2,3
C569699223,1,0,1,2
M1120368409,0,1,1,2
C391524883,1,0,1,2
M124849969,0,1,1,2
C1466971485,1,0,1,2
M1153937000,0,1,1,2
C303247516,1,0,1,2
M1036344264,0,1,1,2
C1295991197,1,0,1,2
C206501792,0,1,1,2
C1547803077,1,0,1,4
C1001382840,0,3,3,4
C387339993,1,0,1,2
M1712914531,0,1,1,2
C2090088808,1,0,1,3
C607702142,0,2,2,3
C512971541,1,0,1,2
C98734303,0,1,1,2
C1746713534,1,0,1,3
C115389871,0,2,2,3
C1272463988,1,0,1,2
C1310949823,0,1,1,2
C2059522288,1,0,1,4
C1340865412,0,3,3,4
C1897263006,1,0,1,3
C1419260727,1,0,1,2
C944829490,0,1,1,2
C412133295,1,0,1,2
M706965267,0,1,1,2
C2103933924,1,0,1,2
M21963889,0,1,1,2
C845056421,1,0,1,4
C1877736408,0,3,3,4
C918400343,1,0,1,2
C1391346072,0,1,1,2
C581325877,1,0,1,3
C77059862,0,2,2,3
C569996123,1,0,1,3
C1902166098,1,0,1,2
C404858880,0,1,1,2
C780267279,1,0,1,2
M41667236,0,1,1,2
C1684467249,1,0,1,2
M1233355580,0,1,1,2
C778514832,1,0,1,2
M742777083,0,1,1,2
C799581856,1,0,1,2
M1596549711,0,1,1,2
C3650075,1,0,1,3
C1093696567,0,2,2,3
C905122884,1,0,1,2
M356485498,0,1,1,2
C493351892,1,0,1,2
C301742464,0,1,1,2
C1438526620,1,0,1,3
C1346065207,0,2,2,3
C1347618358,1,0,1,2
C748837039,0,1,1,2
C1760463516,1,0,1,5
C667558937,0,4,4,5
C695729497,1,0,1,2
C779755439,0,1,1,2
C875048566,1,0,1,4
C1855597596,0,3,3,4
C2111939728,1,0,1,2
C848389638,0,1,1,2
C751454890,1,0,1,2
M1881000148,0,1,1,2
C453422221,1,0,1,2
M1800649729,0,1,1,2
C1406685438,1,0,1,2
C86176178,0,1,1,2
C241445617,1,0,1,3
C1434950930,0,2,2,3
C281938823,1,0,1,2
M417509126,0,1,1,2
C1038481634,1,0,1,2
M789874046,0,1,1,2
C1219844119,1,0,1,3
C2067172290,0,2,2,3
C2141044956,1,0,1,7
C2060536089,1,0,1,3
C911961038,1,0,1,2
M1028772622,0,1,1,2
C879420392,1,0,1,2
M1135403655,0,1,1,2
C1063616231,1,0,1,2
C1670705047,0,1,1,2
C336848806,1,0,1,2
M497971416,0,1,1,2
C1780120132,1,0,1,2
M1664015676,0,1,1,2
C1977411498,1,0,1,2
C1878725878,0,1,1,2
C538321054,1,0,1,2
C698101909,0,1,1,2
C1405870357,1,0,1,2
C588513578,0,1,1,2
C1233456991,1,0,1,4
C275770371,0,3,3,4
C1896544391,1,0,1,3
C1349524886,0,2,2,3
C483907332,1,0,1,4
C811430947,0,3,3,4
C2086615854,1,0,1,2
M714340931,0,1,1,2
C673262870,1,0,1,2
C1703298906,0,1,1,2
C444534312,1,0,1,2
C394020807,0,1,1,2
C1636246814,1,0,1,2
C1007533626,0,1,1,2
C695061478,1,0,1,2
M1243266878,0,1,1,2
C1622657120,1,0,1,2
M724290191,0,1,1,2
C1108837602,1,0,1,2
M1438223475,0,1,1,2
C616144954,1,0,1,2
C1366275552,0,1,1,2
C1539877693,1,0,1,4
C1573526608,0,3,3,4
C2094242664,1,0,1,5
C819391019,1,3,4,5
C1500205077,1,0,1,3
C268920100,0,2,2,3
C389850700,1,0,1,6
C1193495878,0,5,5,6
C2025741191,1,0,1,2
C835472519,0,1,1,2
C1417495949,1,0,1,3
C816164448,0,2,2,3
C1455682848,1,0,1,3
C387953921,0,2,2,3
C688669055,1,0,1,3
C1830948049,0,2,2,3
C1613866142,1,0,1,2
C149057337,0,1,1,2
C314750069,1,0,1,3
C900708076,0,2,2,3
C1563300683,1,0,1,3
C1415969036,0,2,2,3
C1437260363,1,0,1,2
C2121527971,0,1,1,2
C935831369,1,0,1,5
C22827484,0,4,4,5
C485121156,1,0,1,5
C1346571442,0,4,4,5
C1443593561,1,0,1,2
M1429469247,0,1,1,2
C255121490,1,0,1,2
C1410200233,0,1,1,2
C1116430398,1,0,1,2
M1630527154,0,1,1,2
C1252813244,1,0,1,2
M1254493756,0,1,1,2
C1285744685,1,0,1,2
M411047375,0,1,1,2
C1330985330,1,0,1,2
M13515906,0,1,1,2
C479745302,1,0,1,2
C267268169,0,1,1,2
C1603084767,1,0,1,2
M440243606,0,1,1,2
C846746825,1,0,1,3
C662719601,0,2,2,3
C1839345287,1,0,1,2
M2144017883,0,1,1,2
C752541337,1,0,1,3
C1125792608,0,2,2,3
C1419427980,1,0,1,2
C1448058169,0,1,1,2
C1032506313,1,0,1,3
C1020307152,0,2,2,3
C1435972880,1,0,1,4
C397572452,0,3,3,4
C167005755,1,0,1,2
C763154256,0,1,1,2
C1603459074,1,0,1,2
M1608536943,0,1,1,2
C1904226640,1,0,1,3
C2126108953,0,2,2,3
C1962600929,1,0,1,2
C542050939,0,1,1,2
C1071081889,1,0,1,2
C1739497601,0,1,1,2
C864427414,1,0,1,2
C98165689,0,1,1,2
C1672826036,1,0,1,2
C484591441,0,1,1,2
C1938318675,1,0,1,2
C216595148,0,1,1,2
C614313248,1,0,1,3
C751948397,0,2,2,3
C729050041,1,0,1,3
C935854221,0,2,2,3
C1437587009,1,0,1,2
M1093637158,0,1,1,2
C1002689776,1,0,1,2
M1539446412,0,1,1,2
C247278187,1,0,1,2
M1568546524,0,1,1,2
C687539800,1,0,1,2
M2012991497,0,1,1,2
C1165728488,1,0,1,2
M1250648885,0,1,1,2
C19210184,1,0,1,2
C2062689543,0,1,1,2
C1767353791,1,0,1,2
C246157512,0,1,1,2
C237387733,1,0,1,3
C1320452370,1,0,1,2
M539254793,0,1,1,2
C1433153794,1,0,1,2
C1148864154,0,1,1,2
C537471619,1,0,1,4
C1293380893,0,3,3,4
C644481813,1,0,1,2
M357483633,0,1,1,2
C1616052022,1,0,1,3
C2123469046,0,2,2,3
C1404650016,1,0,1,2
M1621684477,0,1,1,2
C1836749289,1,0,1,2
C434739797,0,1,1,2
C355775424,1,0,1,2
C1609018728,0,1,1,2
C1713046890,1,0,1,2
M2128043928,0,1,1,2
C2061197623,1,0,1,2
M1032844256,0,1,1,2
C797522665,1,0,1,2
C194199196,0,1,1,2
C2026066369,1,0,1,3
C1854925027,0,2,2,3
C1264379366,1,0,1,2
M960523988,0,1,1,2
C1667416766,1,0,1,2
C659737968,0,1,1,2
C2145030057,1,0,1,4
C1371959915,0,3,3,4
C678322392,1,0,1,2
M994473119,0,1,1,2
C596675673,1,0,1,2
M611870856,0,1,1,2
C566586438,1,0,1,2
C387916399,0,1,1,2
C1978541017,1,0,1,3
C169774693,0,2,2,3
C1837277776,1,0,1,3
C1950851097,0,2,2,3
C2038659009,1,0,1,3
C1467089106,0,2,2,3
C321493948,1,0,1,4
C12435710,0,3,3,4
C1119589954,1,0,1,3
C2040628508,0,2,2,3
C886481393,1,0,1,2
M45207277,0,1,1,2
C1724467511,1,0,1,2
M1271398675,0,1,1,2
C895730084,1,0,1,2
C127592304,0,1,1,2
C1220891129,1,0,1,3
C993229887,0,2,2,3
C115121699,1,0,1,5
C934777437,0,4,4,5
C138369727,1,0,1,2
C189445832,0,1,1,2
C1237183380,1,0,1,2
C11168755,0,1,1,2
C1754049605,1,0,1,2
C1502222346,0,1,1,2
C795848829,1,0,1,4
C1353907767,0,3,3,4
C1281353264,1,0,1,4
C746328516,0,3,3,4
C85606502,1,0,1,3
C976240517,0,2,2,3
C1937177246,1,0,1,2
M636285923,0,1,1,2
C100639713,1,0,1,2
M768958618,0,1,1,2
C654869805,1,0,1,2
C1079634105,0,1,1,2
C189381407,1,0,1,2
C374956289,0,1,1,2
C1238193447,1,0,1,2
C499641496,0,1,1,2
C2104269088,1,0,1,3
C272906785,0,2,2,3
C1666980365,1,0,1,2
C1393880920,0,1,1,2
C369171654,1,0,1,2
M407516394,0,1,1,2
C160595766,1,0,1,2
M105951755,0,1,1,2
C1839556148,1,0,1,2
M1575768077,0,1,1,2
C1638591148,1,0,1,3
C215118537,0,2,2,3
C349361120,1,0,1,3
C1546044017,0,2,2,3
C591397901,1,0,1,2
M478567320,0,1,1,2
C1984858300,1,0,1,2
M250598975,0,1,1,2
C1610809908,1,0,1,2
C1120952929,0,1,1,2
C558820633,1,0,1,3
C298140935,1,0,1,2
C1812256313,0,1,1,2
C622737182,1,0,1,2
C2056856524,0,1,1,2
C1876747342,1,0,1,3
C364279738,0,2,2,3
C445823124,1,0,1,2
C934165270,0,1,1,2
C1269255324,1,0,1,2
M1675760461,0,1,1,2
C1461098856,1,0,1,3
C2141777947,0,2,2,3
C1348916051,1,0,1,2
C1730301545,0,1,1,2
C1966503693,1,0,1,2
M143116314,0,1,1,2
C1990733345,1,0,1,2
M1608324160,0,1,1,2
C1762416788,1,0,1,5
C250652885,0,4,4,5
C939301627,1,0,1,2
C1985047304,0,1,1,2
C119073729,1,0,1,2
M39780839,0,1,1,2
C635430847,1,0,1,2
M282258156,0,1,1,2
C1719409180,1,0,1,2
M1726207965,0,1,1,2
C1617819043,1,0,1,4
C1932267371,0,3,3,4
C1498836624,1,0,1,2
C1783260854,0,1,1,2
C351299156,1,0,1,4
C1166451718,0,3,3,4
C238128684,1,0,1,3
C1224130196,0,2,2,3
C606502023,1,0,1,2
C979441879,0,1,1,2
C1666116410,1,0,1,2
C319336144,0,1,1,2
C1401912789,1,0,1,2
M526406698,0,1,1,2
C1741355037,1,0,1,2
C1867569961,0,1,1,2
C359268286,1,0,1,3
C2144503151,0,2,2,3
C2028511079,1,0,1,2
C1360484872,0,1,1,2
C682349119,1,0,1,2
M939324261,0,1,1,2
C556622061,1,0,1,2
M68475126,0,1,1,2
C1937973203,1,0,1,3
C128577414,0,2,2,3
C851928131,1,0,1,3
C288506673,0,2,2,3
C587945051,1,0,1,3
C632872210,0,2,2,3
C403030305,1,0,1,2
M1386540846,0,1,1,2
C549123933,1,0,1,2
M1395823456,0,1,1,2
C1569173285,1,0,1,4
C1519553235,0,3,3,4
C91579415,1,0,1,5
C2073370696,0,4,4,5
C1301136460,1,0,1,3
C1185582492,0,2,2,3
C810111166,1,0,1,5
C1511406282,0,4,4,5
C1127071197,1,0,1,6
C1857201732,0,5,5,6
C146391139,1,0,1,2
M221433598,0,1,1,2
C1530169522,1,0,1,4
C950397540,0,3,3,4
C416346407,1,0,1,2
M724496433,0,1,1,2
C1027725663,1,0,1,2
M1277158062,0,1,1,2
C774916717,1,0,1,2
C1053201121,0,1,1,2
C976018906,1,0,1,2
C420628465,0,1,1,2
C720135776,1,0,1,2
M941275029,0,1,1,2
C1144162807,1,0,1,4
C1451704620,0,3,3,4
C1748830988,1,0,1,4
C882075078,0,3,3,4
C27656683,1,0,1,3
C1764677178,0,2,2,3
C1128792249,1,0,1,2
M1708973790,0,1,1,2
C836593403,1,0,1,3
C239122610,0,2,2,3
C1720891519,1,0,1,2
C853869048,0,1,1,2
C1271379537,1,0,1,2
C642562157,0,1,1,2
C1235261517,1,0,1,2
M250915109,0,1,1,2
C81118638,1,0,1,2
C115423035,0,1,1,2
C307512092,1,0,1,2
C2055691562,0,1,1,2
C1696539571,1,0,1,2
C1343345989,0,1,1,2
C1279934674,1,0,1,2
C2043575,0,1,1,2
C1696488407,1,0,1,2
M2117303127,0,1,1,2
C601376510,1,0,1,3
C511564997,0,2,2,3
C779774794,1,0,1,2
C1376386195,0,1,1,2
C365367253,1,0,1,2
C2110750998,0,1,1,2
C966635229,1,0,1,3
C1717266441,0,2,2,3
C305486253,1,0,1,2
C324249920,0,1,1,2
C1425565764,1,0,1,2
C438493331,0,1,1,2
C331467798,1,0,1,2
C896212199,0,1,1,2
C720215839,1,0,1,2
C156462033,0,1,1,2
C1397012820,1,0,1,2
M2031743622,0,1,1,2
C879124044,1,0,1,2
C522772,0,1,1,2
C1010956669,1,0,1,5
C793978126,0,4,4,5
C1852689106,1,0,1,2
M155731261,0,1,1,2
C1151073085,1,0,1,2
M296841837,0,1,1,2
C1519384850,1,0,1,2
M2001759873,0,1,1,2
C2004112172,1,0,1,4
C1865741724,1,0,1,2
C1068640012,0,1,1,2
C1632961086,1,0,1,2
M1835526399,0,1,1,2
C792031336,1,0,1,3
C805575846,0,2,2,3
C932452802,1,0,1,3
C2029802895,0,2,2,3
C64504212,1,0,1,2
M2113421926,0,1,1,2
C662936598,1,0,1,3
C105087511,0,2,2,3
C493500732,1,0,1,2
M1152519845,0,1,1,2
C629507895,1,0,1,2
M1279938263,0,1,1,2
C546865501,1,0,1,2
M1065868268,0,1,1,2
C1044442575,1,0,1,2
M488380393,0,1,1,2
C298041273,1,0,1,2
M515437713,0,1,1,2
C231175382,1,0,1,2
C1382676706,0,1,1,2
C220708413,1,0,1,2
M1226793106,0,1,1,2
C1976895264,1,0,1,2
C1959104974,0,1,1,2
C1927622350,1,0,1,2
C1348732293,0,1,1,2
C2073075292,1,0,1,3
C717490079,0,2,2,3
C2003064386,1,0,1,2
M774428914,0,1,1,2
C1218792997,1,0,1,6
C1609562230,0,5,5,6
C327459888,1,0,1,2
M1697068906,0,1,1,2
C1540321411,1,0,1,2
C1344346606,0,1,1,2
C1763641047,1,0,1,2
M942749387,0,1,1,2
C1508338482,1,0,1,3
C1662683833,1,0,1,2
C1760137579,0,1,1,2
C2061832438,1,0,1,3
C1986460291,0,2,2,3
C1461582352,1,0,1,3
C63607573,0,2,2,3
C1429964440,1,0,1,2
M69305433,0,1,1,2
C1179401486,1,0,1,2
M1067246676,0,1,1,2
C1735107893,1,0,1,2
M447635451,0,1,1,2
C256153457,1,0,1,2
M1278720499,0,1,1,2
C464834036,1,0,1,5
C1858982523,0,4,4,5
C1658163433,1,0,1,2
M1611587316,0,1,1,2
C928747112,1,0,1,2
C1607070477,0,1,1,2
C246224649,1,0,1,3
C435391080,0,2,2,3
C1285727333,1,0,1,3
C1461081892,0,2,2,3
C200058155,1,0,1,2
M1972894950,0,1,1,2
C764435796,1,0,1,2
M754930686,0,1,1,2
C1602622965,1,0,1,4
C1613907258,0,3,3,4
C2098644457,1,0,1,2
C687045804,0,1,1,2
C236020698,1,0,1,4
C375056093,0,3,3,4
C1405898482,1,0,1,3
C749320393,0,2,2,3
C1324186236,1,0,1,6
C96838100,1,0,1,4
C96415425,0,3,3,4
C1434045427,1,0,1,2
M2091745220,0,1,1,2
C1327044462,1,0,1,2
C1093497878,0,1,1,2
C1149876234,1,0,1,5
C1153976534,1,0,1,2
M940939632,0,1,1,2
C1416242201,1,0,1,2
C1132372791,0,1,1,2
C459877533,1,0,1,2
M634764826,0,1,1,2
C1833209364,1,0,1,2
M1528251461,0,1,1,2
C573458196,1,0,1,2
M1728903078,0,1,1,2
C325485006,1,0,1,2
M975276415,0,1,1,2
C679821183,1,0,1,2
C894340629,0,1,1,2
C856533672,1,0,1,2
C1635105663,0,1,1,2
C196201730,1,0,1,2
M778734950,0,1,1,2
C1281237732,1,0,1,2
C795904845,0,1,1,2
C450894488,1,0,1,2
C119113137,0,1,1,2
C1596566890,1,0,1,2
C626350869,0,1,1,2
C1379479795,1,0,1,2
C2066602083,0,1,1,2
C192976273,1,0,1,3
C891884680,0,2,2,3
C686876580,1,0,1,3
C88113608,0,2,2,3
C1793398843,1,0,1,2
C1143762512,0,1,1,2
C1099492010,1,0,1,2
M1459893881,0,1,1,2
C949314106,1,0,1,2
M1888900012,0,1,1,2
C199597396,1,0,1,2
M1837449612,0,1,1,2
C2063033290,1,0,1,2
C1021711504,0,1,1,2
C1149278367,1,0,1,2
C46529027,0,1,1,2
C1272012465,1,0,1,4
C1294709778,0,3,3,4
C1859561622,1,0,1,2
C725126335,0,1,1,2
C345242729,1,0,1,2
C1778318025,0,1,1,2
C849267769,1,0,1,5
C471801300,0,4,4,5
C456009578,1,0,1,2
C1839432562,0,1,1,2
C279522647,1,0,1,2
M1578330397,0,1,1,2
C950642553,1,0,1,2
M1878686634,0,1,1,2
C541228185,1,0,1,2
M1172399156,0,1,1,2
C1090265244,1,0,1,2
C1227841059,0,1,1,2
C1543155879,1,0,1,2
C1239817662,0,1,1,2
C226091732,1,0,1,2
C35386242,0,1,1,2
C2063329591,1,0,1,4
C470274632,0,3,3,4
C603964634,1,0,1,2
C1772884637,0,1,1,2
C720975693,1,0,1,2
M797928573,0,1,1,2
C1429949457,1,0,1,2
M1530545091,0,1,1,2
C685385447,1,0,1,4
C523969345,0,3,3,4
C812856643,1,0,1,3
C363323157,0,2,2,3
C217314307,1,0,1,2
M530068471,0,1,1,2
C864389666,1,0,1,2
C1924999072,0,1,1,2
C1266216952,1,0,1,2
M1543862362,0,1,1,2
C1997405399,1,0,1,2
C850683997,0,1,1,2
C63775653,1,0,1,4
C1824583041,1,0,1,3
C121729362,0,2,2,3
C335776737,1,0,1,6
C1137384302,1,0,1,2
M959885430,0,1,1,2
C926047329,1,0,1,2
M723467265,0,1,1,2
C2060135092,1,0,1,2
C861263518,0,1,1,2
C678431952,1,0,1,3
C560505755,0,2,2,3
C2045300262,1,0,1,3
C813342362,0,2,2,3
C1065964967,1,0,1,2
M219975282,0,1,1,2
C1937380387,1,0,1,2
C1383253034,0,1,1,2
C1990766579,1,0,1,3
C1476468211,0,2,2,3
C1955704714,1,0,1,2
C570333758,0,1,1,2
C937648351,1,0,1,2
M1767716939,0,1,1,2
C1524914648,1,0,1,2
M343305604,0,1,1,2
C1689981365,1,0,1,2
C675116808,0,1,1,2
C1011998806,1,0,1,2
M984389916,0,1,1,2
C614038436,1,0,1,2
C346332588,0,1,1,2
C1337020713,1,0,1,3
C900714426,0,2,2,3
C2109400504,1,0,1,2
C2126102013,0,1,1,2
C2023313779,1,0,1,2
C1219803749,0,1,1,2
C1855167055,1,0,1,2
M481066433,0,1,1,2
C647083591,1,0,1,4
C1949183018,0,3,3,4
C709307764,1,0,1,2
M121858154,0,1,1,2
C1331892724,1,0,1,2
M1915496311,0,1,1,2
C1639713831,1,0,1,2
C1214376851,0,1,1,2
C1087085583,1,0,1,3
C652175952,0,2,2,3
C1591594425,1,0,1,2
C1588853992,0,1,1,2
C73938790,1,0,1,2
M1354367190,0,1,1,2
C399951232,1,0,1,2
M920009556,0,1,1,2
C2050522331,1,0,1,2
M1578019338,0,1,1,2
C1118229465,1,0,1,4
C923516809,1,0,1,3
C478062711,0,2,2,3
C1237045559,1,0,1,2
C540576331,0,1,1,2
C1120700674,1,0,1,3
C217011087,0,2,2,3
C856308350,1,0,1,2
C2015584714,0,1,1,2
C207191982,1,0,1,2
M1598994494,0,1,1,2
C1532242702,1,0,1,2
C1086908336,0,1,1,2
C816728368,1,0,1,2
C1856514701,0,1,1,2
C311875994,1,0,1,4
C1817176849,0,3,3,4
C342300528,1,0,1,2
M113805491,0,1,1,2
C1922768897,1,0,1,2
C532783773,0,1,1,2
C598394260,1,0,1,2
C541694770,0,1,1,2
C102242761,1,0,1,2
M2143745362,0,1,1,2
C1104187446,1,0,1,2
C575848911,0,1,1,2
C1182681182,1,0,1,2
C392584375,0,1,1,2
C253933908,1,0,1,2
M113796781,0,1,1,2
C198425170,1,0,1,2
M915377647,0,1,1,2
C1825298788,1,0,1,3
C206197207,0,2,2,3
C1267887057,1,0,1,7
C1315027821,1,0,1,2
M1658992899,0,1,1,2
C395777816,1,0,1,2
C1214453190,0,1,1,2
C883237774,1,0,1,2
C202061047,0,1,1,2
C1501618299,1,0,1,2
C492672681,0,1,1,2
C490633291,1,0,1,2
C2098530042,0,1,1,2
C378153737,1,0,1,2
C1950258403,0,1,1,2
C1491900650,1,0,1,2
C2057547970,0,1,1,2
C963106061,1,0,1,2
M241674802,0,1,1,2
C1570959158,1,0,1,4
C1974895957,0,3,3,4
C2135716308,1,0,1,3
C1591034182,0,2,2,3
C1078226958,1,0,1,2
M872502964,0,1,1,2
C181906346,1,0,1,2
M602126619,0,1,1,2
C1250030729,1,0,1,2
M2054232476,0,1,1,2
C567445903,1,0,1,2
C943997694,0,1,1,2
C1119315092,1,0,1,2
M1587967401,0,1,1,2
C1043357746,1,0,1,2
M1314731912,0,1,1,2
C2127975430,1,0,1,2
M1400071597,0,1,1,2
C123519884,1,0,1,2
M921223385,0,1,1,2
C944614487,1,0,1,4
C490301774,0,3,3,4
C2050199263,1,0,1,3
C58372746,0,2,2,3
C728296248,1,0,1,2
C193063178,0,1,1,2
C2099136714,1,0,1,2
C1053550938,0,1,1,2
C755187737,1,0,1,2
C1878353135,0,1,1,2
C211617176,1,0,1,2
M2013984530,0,1,1,2
C303482080,1,0,1,2
C1811350033,0,1,1,2
C1913226474,1,0,1,5
C59232933,0,4,4,5
C1608504028,1,0,1,2
C158532191,0,1,1,2
C789278422,1,0,1,3
C2051382290,1,0,1,2
M1733634365,0,1,1,2
C515772790,1,0,1,2
M1840506144,0,1,1,2
C608110339,1,0,1,2
C856289630,0,1,1,2
C447702794,1,0,1,2
C544948057,0,1,1,2
C1045517869,1,0,1,3
C1651099324,0,2,2,3
C1202820939,1,0,1,2
M70361070,0,1,1,2
C1508662460,1,0,1,2
C1947848990,0,1,1,2
C1687510067,1,0,1,2
C85775681,0,1,1,2
C1793828290,1,0,1,2
C739875835,0,1,1,2
C807484026,1,0,1,2
C799842184,0,1,1,2
C2088757495,1,0,1,2
M90893562,0,1,1,2
C1930704876,1,0,1,2
M207974314,0,1,1,2
C1781605752,1,0,1,2
C1524254548,0,1,1,2
C114479664,1,0,1,3
C1627307891,0,2,2,3
C1547185670,1,0,1,2
M1734507466,0,1,1,2
C1246701294,1,0,1,2
C1987920862,0,1,1,2
C134036179,1,0,1,2
M2083399793,0,1,1,2
C560996839,1,0,1,2
M822225950,0,1,1,2
C324413388,1,0,1,2
M1100700760,0,1,1,2
C348326599,1,0,1,2
M197079692,0,1,1,2
C1397894933,1,0,1,2
M457401394,0,1,1,2
C446688658,1,0,1,2
M1449791558,0,1,1,2
C1305301399,1,0,1,2
C808152153,0,1,1,2
C1191910356,1,0,1,2
C176270156,0,1,1,2
C944569355,1,0,1,2
M2135276986,0,1,1,2
C694751201,1,0,1,2
M1368877114,0,1,1,2
C291535181,1,0,1,3
C2046932605,0,2,2,3
C584244071,1,0,1,2
M102286712,0,1,1,2
C1372474423,1,0,1,3
C682364552,0,2,2,3
C1241436057,1,0,1,2
M782107415,0,1,1,2
C2137518439,1,0,1,2
M1958770190,0,1,1,2
C1329770767,1,0,1,2
C1688898734,0,1,1,2
C649537253,1,0,1,2
C1204856856,0,1,1,2
C881170290,1,0,1,2
C1016416161,0,1,1,2
C568265865,1,0,1,2
M270830413,0,1,1,2
C1510004789,1,0,1,2
M566921382,0,1,1,2
C1451106914,1,0,1,2
M548043784,0,1,1,2
C1431028671,1,0,1,3
C1693882464,0,2,2,3
C1582255518,1,0,1,2
M1277318106,0,1,1,2
C75654661,1,0,1,4
C1799646131,1,0,1,2
M17928821,0,1,1,2
C348567969,1,0,1,2
C1458031638,0,1,1,2
C824235222,1,0,1,3
C428915592,0,2,2,3
C1225966671,1,0,1,2
M1713852193,0,1,1,2
C692110621,1,0,1,2
M432180308,0,1,1,2
C1726691306,1,0,1,2
C2051443605,0,1,1,2
C2036064283,1,0,1,3
C302746244,0,2,2,3
C554108191,1,0,1,3
C1210489031,0,2,2,3
C338046002,1,0,1,2
M157450505,0,1,1,2
C610267206,1,0,1,2
M248239118,0,1,1,2
C1183048217,1,0,1,2
C668413134,0,1,1,2
C1648990869,1,0,1,3
C349092631,0,2,2,3
C1071923606,1,0,1,2
C851276317,0,1,1,2
C1766760668,1,0,1,2
M1191921153,0,1,1,2
C1963650960,1,0,1,2
M427477986,0,1,1,2
C885025237,1,0,1,3
C783602068,0,2,2,3
C1458524683,1,0,1,3
C1042856889,0,2,2,3
C534022996,1,0,1,4
C755196725,0,3,3,4
C1270980063,1,0,1,2
M837632101,0,1,1,2
C1861581558,1,0,1,5
C1014470159,0,4,4,5
C1309547367,1,0,1,2
C1627838959,0,1,1,2
C1666911473,1,0,1,2
C781476874,0,1,1,2
C1879929462,1,0,1,3
C466864294,0,2,2,3
C1144693683,1,0,1,2
M201241765,0,1,1,2
C1540365326,1,0,1,3
C1306268875,0,2,2,3
C1274593128,1,0,1,2
C1058532092,0,1,1,2
C1371107880,1,0,1,2
C1100685336,0,1,1,2
C650820477,1,0,1,2
C463410407,0,1,1,2
C817115298,1,0,1,2
M2066396134,0,1,1,2
C19863724,1,0,1,2
C189742687,0,1,1,2
C283691397,1,0,1,2
M163222077,0,1,1,2
C1649645840,1,0,1,2
M221078599,0,1,1,2
C147940970,1,0,1,2
C119799905,0,1,1,2
C322322689,1,0,1,4
C657312979,0,3,3,4
C665313903,1,0,1,4
C234984508,0,3,3,4
C307698846,1,0,1,2
C787190020,0,1,1,2
C136302838,1,0,1,5
C1335050193,0,4,4,5
C737801059,1,0,1,5
C565921492,0,4,4,5
C472031789,1,0,1,2
M2048320403,0,1,1,2
C1096215443,1,0,1,6
C420481754,0,5,5,6
C678505464,1,0,1,3
C1213780651,0,2,2,3
C810980200,1,0,1,2
M95094248,0,1,1,2
C1331891837,1,0,1,3
C594031198,0,2,2,3
C1411467864,1,0,1,2
C604787419,0,1,1,2
C104902535,1,0,1,4
C525373725,0,3,3,4
C1120797010,1,0,1,2
M1535853667,0,1,1,2
C824865619,1,0,1,4
C1929194326,0,3,3,4
C1727051461,1,0,1,3
C1348934172,0,2,2,3
C287740391,1,0,1,4
C1344549008,0,3,3,4
C554379520,1,0,1,2
M1043825810,0,1,1,2
C679686674,1,0,1,4
C429446666,0,3,3,4
C1566626515,1,0,1,5
C642742884,0,4,4,5
C312402546,1,0,1,2
C2044887762,0,1,1,2
C602522989,1,0,1,2
M527819091,0,1,1,2
C1538471756,1,0,1,2
C1351678391,0,1,1,2
C134470516,1,0,1,2
C261840462,0,1,1,2
C1243404840,1,0,1,2
C912754937,0,1,1,2
C634665140,1,0,1,2
C887616409,0,1,1,2
C1038164511,1,0,1,3
C1748014031,0,2,2,3
C1186456911,1,0,1,2
M2135054734,0,1,1,2
C1893321958,1,0,1,2
C1932927361,0,1,1,2
C826384102,1,0,1,3
C1059468012,0,2,2,3
C1268050442,1,0,1,4
C1724077414,0,3,3,4
C270143144,1,0,1,4
C730341224,0,3,3,4
C1964567378,1,0,1,3
C1213662928,0,2,2,3
C1741740539,1,0,1,2
M525722091,0,1,1,2
C1520217682,1,0,1,2
C824610810,0,1,1,2
C1188023766,1,0,1,2
M1808107649,0,1,1,2
C900530858,1,0,1,2
C1940189108,0,1,1,2
C806155476,1,0,1,2
M574046685,0,1,1,2
C2108736051,1,0,1,2
M470766044,0,1,1,2
C760932751,1,0,1,2
C1934496339,0,1,1,2
C127019268,1,0,1,4
C1696635236,0,3,3,4
C2032142,1,0,1,2
C2058366554,0,1,1,2
C581780540,1,0,1,2
M1252823499,0,1,1,2
C1034101253,1,0,1,2
M1670428288,0,1,1,2
C2006434972,1,0,1,2
C317312896,0,1,1,2
C1218745942,1,0,1,2
M1300624833,0,1,1,2
